sub_f_005.acq
1 msec/sample
15 channels
Corr Raw
mV
Zyg Raw
mV
Lev Raw
Volts
Digital input
Volts
Digital input
Volts
Digital input
Volts
Digital input
Volts
Digital input
Volts
Digital input
Volts
Digital input
Volts
Digital input
Volts
Corr Processed
Volts
Zyg Processed
Volts
Lev Processed
Volts
Marker
Volts
CH1,CH2,CH3,CH28,CH29,CH30,CH31,CH32,CH33,CH34,CH35,CH40,CH41,CH42,CH43,
-0.00830078,0.00280762,0.0170898,0,0,0,0,0,0,0,0,3.30702,0.952931,0.0813592,0,
-0.00701904,0.00164795,0.0231934,0,0,0,0,0,0,0,0,3.39612,1.00008,0.0805719,0,
-0.00421143,0.00201416,-0.00793457,0,0,0,0,0,0,0,0,3.45475,1.13896,0.0865932,0,
0.00805664,0.000915527,-0.0357056,0,0,0,0,0,0,0,0,3.54684,1.1339,0.0998906,0,
0.00817871,0.00390625,-0.0228882,0,0,0,0,0,0,0,0,3.67865,1.09172,0.105796,0,
0.00219727,0.003479,-0.00274658,0,0,0,0,0,0,0,0,3.91684,1.14077,0.104793,0,
-0.00732422,0.00384521,0.0164795,0,0,0,0,0,0,0,0,3.9844,1.15676,0.104432,0,
-0.00384521,0.00372314,0.0219727,0,0,0,0,0,0,0,0,4.13907,1.17072,0.117472,0,
-0.00335693,0.00341797,0.0164795,0,0,0,0,0,0,0,0,4.25504,1.13249,0.131444,0,
-0.0032959,0.00250244,0.0149536,0,0,0,0,0,0,0,0,4.21256,1.11463,0.14373,0,
-0.00390625,0,0.0164795,0,0,0,0,0,0,0,0,4.27369,1.11572,0.156089,0,
-0.000305176,-0.000976562,0.0183105,0,0,0,0,0,0,0,0,4.21452,1.07011,0.162878,0,
0.0043335,-0.00213623,0.0125122,0,0,0,0,0,0,0,0,4.27818,1.04104,0.160737,0,
0.0133057,-0.00524902,-0.00488281,0,0,0,0,0,0,0,0,4.2534,1.01009,0.170432,0,
0.0142212,-0.00543213,-0.0189209,0,0,0,0,0,0,0,0,4.25578,0.975845,0.186133,0,
0.00567627,-0.00500488,-0.0149536,0,0,0,0,0,0,0,0,4.2703,1.00954,0.188199,0,
-0.000610352,-0.00518799,-0.0112915,0,0,0,0,0,0,0,0,4.15625,1.00924,0.189469,0,
-0.00408936,-0.00726318,-0.0289917,0,0,0,0,0,0,0,0,4.03097,1.01178,0.188411,0,
-0.00720215,-0.00720215,-0.0286865,0,0,0,0,0,0,0,0,3.80756,1.07463,0.18947,0,
-0.0101929,-0.00732422,-0.0268555,0,0,0,0,0,0,0,0,3.4834,1.11427,0.191099,0,
-0.00982666,-0.00592041,-0.0299072,0,0,0,0,0,0,0,0,3.26569,1.20498,0.190525,0,
-0.00708008,-0.00762939,-0.0189209,0,0,0,0,0,0,0,0,3.30471,1.15613,0.185571,0,
-0.0090332,-0.00622559,-0.0106812,0,0,0,0,0,0,0,0,3.41086,1.09274,0.185916,0,
-0.00561523,-0.00592041,-0.00427246,0,0,0,0,0,0,0,0,3.48276,1.09906,0.179708,0,
0.00219727,-0.00488281,-0.00946045,0,0,0,0,0,0,0,0,3.29304,1.10555,0.180883,0,
0.0102539,-0.00231934,-0.0119019,0,0,0,0,0,0,0,0,3.06059,1.11036,0.183761,0,
0.0132446,-0.00134277,-0.0140381,0,0,0,0,0,0,0,0,2.90876,1.04698,0.18566,0,
0.00567627,-0.00292969,-0.0115967,0,0,0,0,0,0,0,0,2.80675,1.02462,0.175772,0,
0.00842285,-0.00360107,-0.00427246,0,0,0,0,0,0,0,0,2.85347,1.08403,0.165081,0,
0.00744629,-0.00231934,0.000305176,0,0,0,0,0,0,0,0,2.76427,1.12885,0.155155,0,
-0.000732422,-0.00152588,0.00732422,0,0,0,0,0,0,0,0,2.70735,1.14912,0.152119,0,
-0.00439453,-0.000793457,0.010376,0,0,0,0,0,0,0,0,2.51214,1.15361,0.150423,0,
-0.00146484,-0.000915527,0.00457764,0,0,0,0,0,0,0,0,2.35395,1.1364,0.148958,0,
-0.00305176,-0.00134277,0.00396729,0,0,0,0,0,0,0,0,2.33843,1.11642,0.143052,0,
-0.0020752,0.000732422,0.0106812,0,0,0,0,0,0,0,0,2.22151,1.05883,0.132099,0,
0.000854492,0.00354004,0.0119019,0,0,0,0,0,0,0,0,2.18614,1.0397,0.125854,0,
0.00750732,0.003479,0.00976562,0,0,0,0,0,0,0,0,2.30977,1.03016,0.116214,0,
0.00427246,0.00390625,0.00305176,0,0,0,0,0,0,0,0,2.28527,1.02455,0.112828,0,
-0.00177002,0.00164795,0.00549316,0,0,0,0,0,0,0,0,2.24755,0.930048,0.116176,0,
-0.00317383,0.00164795,0.00488281,0,0,0,0,0,0,0,0,2.26893,0.869662,0.121159,0,
-0.0065918,0.00146484,0.000915527,0,0,0,0,0,0,0,0,2.27653,0.784561,0.134273,0,
-0.00445557,0.000732422,-0.017395,0,0,0,0,0,0,0,0,2.3021,0.775036,0.134129,0,
-0.00134277,0.00158691,-0.0317383,0,0,0,0,0,0,0,0,2.16927,0.770166,0.143265,0,
-0.00146484,-6.10352E-05,-0.0286865,0,0,0,0,0,0,0,0,2.15704,0.726633,0.15029,0,
0.00292969,-0.00146484,-0.0189209,0,0,0,0,0,0,0,0,2.36412,0.721862,0.1551,0,
0.00360107,-0.00152588,0.00671387,0,0,0,0,0,0,0,0,2.21013,0.708878,0.152846,0,
0.00256348,-0.00115967,0.020752,0,0,0,0,0,0,0,0,2.09102,0.735104,0.153969,0,
0.00164795,6.10352E-05,0.012207,0,0,0,0,0,0,0,0,1.9596,0.756278,0.159387,0,
0.00152588,0.00213623,0.0177002,0,0,0,0,0,0,0,0,1.8248,0.755297,0.16487,0,
0.00164795,0.00201416,0.0186157,0,0,0,0,0,0,0,0,2.08942,0.737675,0.166196,0,
0.00244141,0.000183105,0.00946045,0,0,0,0,0,0,0,0,2.10031,0.694555,0.170102,0,
0.00244141,-0.00286865,0.0140381,0,0,0,0,0,0,0,0,2.10632,0.69926,0.176129,0,
0.00280762,-0.00335693,0.0170898,0,0,0,0,0,0,0,0,2.34475,0.706661,0.178932,0,
0.00390625,-0.00390625,0.0149536,0,0,0,0,0,0,0,0,2.6582,0.701307,0.177906,0,
0.00445557,-0.00341797,-0.00305176,0,0,0,0,0,0,0,0,2.93364,0.780496,0.181471,0,
0.00408936,-0.003479,-0.0228882,0,0,0,0,0,0,0,0,3.08823,0.788843,0.183799,0,
0.000488281,-0.0045166,-0.0256348,0,0,0,0,0,0,0,0,2.99268,0.819885,0.190418,0,
0.000366211,-0.00628662,-0.0177002,0,0,0,0,0,0,0,0,3.08915,0.797938,0.194306,0,
0.00219727,-0.00567627,0.00274658,0,0,0,0,0,0,0,0,3.24007,0.815897,0.197991,0,
0.0020752,-0.00476074,0.0152588,0,0,0,0,0,0,0,0,3.24533,0.803234,0.202244,0,
0.00341797,-0.00292969,0.00701904,0,0,0,0,0,0,0,0,3.19102,0.798082,0.197737,0,
0.00567627,-0.00164795,-0.000305176,0,0,0,0,0,0,0,0,3.23413,0.823797,0.199082,0,
